          100     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
          200     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
          300     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
          400     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
          500     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
          600     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
          700     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
          800     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
          900     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1000     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1100     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1200     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1300     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1400     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1500     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1600     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1700     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1800     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         1900     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2000     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2100     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2200     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2300     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2400     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2500     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2600     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2700     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2800     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         2900     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3000     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3100     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3200     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3300     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3400     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3500     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3600     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3700     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3800     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         3900     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4000     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4100     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4200     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4300     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4400     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4500     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4600     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4700     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4800     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         4900     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
         5000     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity     Infinity
