casename,rgas,gam,cp,cv,cfl,sfac,sfac_res,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.55,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.563663959503174,3,100000.0,1.66717e-05,6.94622e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.55,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.67868947982788,3,100000.0,1.66717e-05,6.94622e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.55,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.745704650878906,3,100000.0,1.66717e-05,6.94622e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.7166666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.9856116771698,1,76450.0,2.13295e-05,1.15828e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.7166666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.970608234405518,1,76450.0,2.13295e-05,1.15828e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.7166666666666667,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.978610515594482,1,76450.0,2.13295e-05,1.15828e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.789549827575684,1,76300.0,2.2937e-05,1.11125e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.844562530517578,1,76300.0,2.2937e-05,1.11125e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.9755916595459,1,76300.0,2.2937e-05,1.11125e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.54628944396973,3,100000.0,1.36303e-05,2.36281e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.05,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.54128932952881,3,100000.0,1.36303e-05,2.36281e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015848931924611134,0.13333333333333333,0.5,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.369696855545044,3,100000.0,1.05535e-05,1.24659e-06
