casename,rgas,gam,cp,cv,cfl,sfac,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,129,37,100000.0,300.0,0.0,0.25,85000.0,5.805845260620117,1,30400.0,0.000232584,2.29556e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,12.65939211845398,1,40000.0,0.000111889,1.26433e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,12.689399480819702,1,40000.0,0.000111889,1.26433e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,12.706403970718384,1,40000.0,0.000111889,1.26433e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,28.30548667907715,1,54100.0,9.09244e-05,1.57935e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,28.233468055725098,1,54100.0,9.09244e-05,1.57935e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.8551945686340332,1,11600.0,0.00988802,0.000165047
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,359,37,100000.0,300.0,0.0,0.25,85000.0,28.16690993309021,1,54100.0,9.09244e-05,1.57935e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.852191686630249,1,11600.0,0.00988802,0.000165047
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,5,37,100000.0,300.0,0.0,0.25,85000.0,0.8607912063598633,1,11600.0,0.00988802,0.000165047
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.9402103424072266,1,10500.0,0.00536119,9.98731e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.9192168712615967,1,10500.0,0.00536119,9.98731e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,8,37,100000.0,300.0,0.0,0.25,85000.0,0.9852311611175537,1,10500.0,0.00536119,9.98731e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,1.071239709854126,1,11150.0,0.00540569,8.98759e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,1.06123685836792,1,11150.0,0.00540569,8.98759e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,10,37,100000.0,300.0,0.0,0.25,85000.0,1.0672392845153809,1,11150.0,0.00540569,8.98759e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,1.1282529830932617,1,8700.0,0.00455785,8.16985e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,1.1472578048706055,1,8700.0,0.00455785,8.16985e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,16,37,100000.0,300.0,0.0,0.25,85000.0,1.1332530975341797,1,8700.0,0.00455785,8.16985e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,1.7229487895965576,1,9200.0,0.00148536,4.81527e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,1.7233846187591553,1,9200.0,0.00148536,4.81527e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,27,37,100000.0,300.0,0.0,0.25,85000.0,1.745389461517334,1,9200.0,0.00148536,4.81527e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,46,37,100000.0,300.0,0.0,0.25,85000.0,4.843082427978516,1,17050.0,0.000729111,1.6259e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,46,37,100000.0,300.0,0.0,0.25,85000.0,4.906645059585571,1,17050.0,0.000729111,1.6259e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,46,37,100000.0,300.0,0.0,0.25,85000.0,4.861652851104736,1,17050.0,0.000729111,1.6259e-05
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,77,37,100000.0,300.0,0.0,0.25,85000.0,9.9752836227417,1,21900.0,0.000404026,6.41461e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,77,37,100000.0,300.0,0.0,0.25,85000.0,10.052822351455688,1,21900.0,0.000404026,6.41461e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,77,37,100000.0,300.0,0.0,0.25,85000.0,10.056891202926636,1,21900.0,0.000404026,6.41461e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,77.17283630371094,1,88300.0,8.27507e-05,1.7134e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,77.35487580299377,1,88300.0,8.27507e-05,1.7134e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,129,37,100000.0,300.0,0.0,0.25,85000.0,19.380030870437622,1,26500.0,0.000233477,2.28097e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,1,2,1,599,37,100000.0,300.0,0.0,0.25,85000.0,77.07283616065979,1,88300.0,8.27507e-05,1.7134e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,129,37,100000.0,300.0,0.0,0.25,85000.0,19.272414922714233,1,26500.0,0.000233477,2.28097e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,129,37,100000.0,300.0,0.0,0.25,85000.0,19.41066288948059,1,26500.0,0.000233477,2.28097e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,48.154016971588135,1,40000.0,0.000112458,1.26586e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,48.44105410575867,1,40000.0,0.000112458,1.26586e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.1,0.8,0.0001,0.01,0,0,100000,4,2,1,215,37,100000.0,300.0,0.0,0.25,85000.0,48.30102324485779,1,40000.0,0.000112458,1.26586e-06
