casename,rgas,gam,cp,cv,cfl,sfac,sfac_res,d_max,d_var,facsec,fcorr,nsteps,nrkuts,guess_method,tstep_method,ni,nj,pstag,tstag,alpha,rfin,p,dt,converged,iterations,dro_max,dro_avg
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.02429781065806129,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,20.46921181678772,1,63200.0,6.10358e-05,1.09934e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.02429781065806129,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,20.576237440109253,1,63200.0,6.10358e-05,1.09934e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015587755020547791,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.77417302131653,1,76300.0,3.97717e-05,7.44163e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015587755020547791,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.78517508506775,1,76300.0,3.97717e-05,7.44163e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.015587755020547791,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,24.822185277938843,1,76300.0,3.97717e-05,7.44163e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,31.84335446357727,1,98250.0,2.48499e-05,5.85571e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,31.87235951423645,1,98250.0,2.48499e-05,5.85571e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.01,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,32.08740711212158,1,98250.0,2.48499e-05,5.85571e-07
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.03787483200735143,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,13.739668846130371,1,42300.0,9.56508e-05,1.68895e-06
bump,287.0,1.4,1004.5000000000001,717.5000000000001,0.05903836027749967,0.8,0.3,0.0001,0.01,0.0,0.8,100000,4,1,2,53,37,100000.0,300.0,0.0,0.25,85000.0,11.367203712463379,1,34950.0,0.000148953,2.61241e-06
