           50   0.243442E-03   0.337409E-03   0.345266E-03   0.647488E-03   0.315028E-02   0.451017E-02   0.446165E-02   0.751892E-02
          100   0.266344E-03   0.368650E-03   0.423318E-03   0.505033E-03   0.193158E-02   0.274727E-02   0.366978E-02   0.422586E-02
          150   0.269634E-03   0.371780E-03   0.482617E-03   0.290122E-03   0.245455E-02   0.352048E-02   0.335811E-02   0.279309E-02
          200   0.209240E-03   0.292381E-03   0.479786E-03   0.379218E-03   0.207897E-02   0.293481E-02   0.217590E-02   0.255816E-02
          250   0.268151E-03   0.367894E-03   0.455634E-03   0.354699E-03   0.126651E-02   0.167263E-02   0.195454E-02   0.234951E-02
          300   0.234615E-03   0.319585E-03   0.429101E-03   0.400456E-03   0.991701E-03   0.134293E-02   0.261559E-02   0.269072E-02
          350   0.234269E-03   0.319879E-03   0.437798E-03   0.368518E-03   0.149668E-02   0.204888E-02   0.178249E-02   0.209158E-02
          400   0.245515E-03   0.340202E-03   0.448238E-03   0.345522E-03   0.977408E-03   0.108022E-02   0.170731E-02   0.197132E-02
          450   0.192912E-03   0.268036E-03   0.390405E-03   0.355567E-03   0.690721E-03   0.905165E-03   0.174122E-02   0.182905E-02
          500   0.241610E-03   0.331081E-03   0.366568E-03   0.290457E-03   0.976505E-03   0.125806E-02   0.151755E-02   0.190326E-02
          550   0.237163E-03   0.327612E-03   0.371583E-03   0.300275E-03   0.112027E-02   0.142709E-02   0.113281E-02   0.133158E-02
          600   0.179193E-03   0.246853E-03   0.321144E-03   0.343075E-03   0.980005E-03   0.124147E-02   0.134390E-02   0.143036E-02
          650   0.185221E-03   0.247263E-03   0.298477E-03   0.276057E-03   0.130567E-02   0.166148E-02   0.139587E-02   0.123281E-02
          700   0.159274E-03   0.208481E-03   0.280754E-03   0.298370E-03   0.122984E-02   0.151534E-02   0.114967E-02   0.142392E-02
          750   0.131973E-03   0.172801E-03   0.276897E-03   0.315012E-03   0.743330E-03   0.927644E-03   0.116904E-02   0.167561E-02
          800   0.143360E-03   0.189738E-03   0.299077E-03   0.250003E-03   0.715756E-03   0.948120E-03   0.103029E-02   0.956268E-03
          850   0.119906E-03   0.162995E-03   0.302721E-03   0.260279E-03   0.862581E-03   0.994647E-03   0.104120E-02   0.122993E-02
          900   0.131027E-03   0.173590E-03   0.293006E-03   0.221181E-03   0.617103E-03   0.790580E-03   0.143760E-02   0.112941E-02
          950   0.113550E-03   0.156620E-03   0.271002E-03   0.241764E-03   0.557117E-03   0.734534E-03   0.135928E-02   0.887575E-03
